Video Name,Object,Confidence Score,Time Stamp
video (2160p).mp4,car,0.29,18:43:07
video (2160p).mp4,traffic sign,0.3,18:43:07
video (2160p).mp4,car,0.3,18:43:07
video (2160p).mp4,pedestrian,0.33,18:43:07
video (2160p).mp4,traffic light,0.33,18:43:07
video (2160p).mp4,pedestrian,0.37,18:43:07
video (2160p).mp4,car,0.38,18:43:07
video (2160p).mp4,car,0.41,18:43:07
video (2160p).mp4,car,0.46,18:43:07
video (2160p).mp4,car,0.48,18:43:07
video (2160p).mp4,car,0.51,18:43:07
video (2160p).mp4,pedestrian,0.64,18:43:07
video (2160p).mp4,pedestrian,0.64,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,car,0.71,18:43:07
video (2160p).mp4,car,0.74,18:43:07
video (2160p).mp4,traffic light,0.27,18:43:07
video (2160p).mp4,car,0.29,18:43:07
video (2160p).mp4,car,0.29,18:43:07
video (2160p).mp4,car,0.32,18:43:07
video (2160p).mp4,traffic light,0.33,18:43:07
video (2160p).mp4,car,0.34,18:43:07
video (2160p).mp4,traffic sign,0.36,18:43:07
video (2160p).mp4,car,0.37,18:43:07
video (2160p).mp4,pedestrian,0.38,18:43:07
video (2160p).mp4,car,0.39,18:43:07
video (2160p).mp4,car,0.39,18:43:07
video (2160p).mp4,pedestrian,0.45,18:43:07
video (2160p).mp4,car,0.51,18:43:07
video (2160p).mp4,car,0.56,18:43:07
video (2160p).mp4,pedestrian,0.59,18:43:07
video (2160p).mp4,car,0.64,18:43:07
video (2160p).mp4,pedestrian,0.64,18:43:07
video (2160p).mp4,car,0.7,18:43:07
video (2160p).mp4,car,0.73,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,traffic light,0.27,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.3,18:43:07
video (2160p).mp4,car,0.31,18:43:07
video (2160p).mp4,car,0.34,18:43:07
video (2160p).mp4,car,0.34,18:43:07
video (2160p).mp4,car,0.35,18:43:07
video (2160p).mp4,traffic sign,0.35,18:43:07
video (2160p).mp4,car,0.39,18:43:07
video (2160p).mp4,pedestrian,0.4,18:43:07
video (2160p).mp4,car,0.44,18:43:07
video (2160p).mp4,pedestrian,0.46,18:43:07
video (2160p).mp4,car,0.57,18:43:07
video (2160p).mp4,pedestrian,0.61,18:43:07
video (2160p).mp4,pedestrian,0.61,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,car,0.69,18:43:07
video (2160p).mp4,car,0.72,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,traffic sign,0.27,18:43:07
video (2160p).mp4,car,0.31,18:43:07
video (2160p).mp4,traffic light,0.31,18:43:07
video (2160p).mp4,car,0.31,18:43:07
video (2160p).mp4,pedestrian,0.34,18:43:07
video (2160p).mp4,car,0.35,18:43:07
video (2160p).mp4,car,0.36,18:43:07
video (2160p).mp4,car,0.36,18:43:07
video (2160p).mp4,car,0.45,18:43:07
video (2160p).mp4,pedestrian,0.53,18:43:07
video (2160p).mp4,pedestrian,0.58,18:43:07
video (2160p).mp4,car,0.59,18:43:07
video (2160p).mp4,pedestrian,0.64,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,car,0.69,18:43:07
video (2160p).mp4,car,0.73,18:43:07
video (2160p).mp4,traffic light,0.26,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.29,18:43:07
video (2160p).mp4,car,0.3,18:43:07
video (2160p).mp4,car,0.33,18:43:07
video (2160p).mp4,pedestrian,0.34,18:43:07
video (2160p).mp4,car,0.36,18:43:07
video (2160p).mp4,car,0.41,18:43:07
video (2160p).mp4,car,0.43,18:43:07
video (2160p).mp4,car,0.44,18:43:07
video (2160p).mp4,car,0.46,18:43:07
video (2160p).mp4,car,0.47,18:43:07
video (2160p).mp4,pedestrian,0.5,18:43:07
video (2160p).mp4,car,0.56,18:43:07
video (2160p).mp4,pedestrian,0.6,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,car,0.68,18:43:07
video (2160p).mp4,pedestrian,0.71,18:43:07
video (2160p).mp4,car,0.73,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.29,18:43:07
video (2160p).mp4,car,0.29,18:43:07
video (2160p).mp4,traffic light,0.31,18:43:07
video (2160p).mp4,car,0.31,18:43:07
video (2160p).mp4,car,0.34,18:43:07
video (2160p).mp4,car,0.36,18:43:07
video (2160p).mp4,car,0.42,18:43:07
video (2160p).mp4,car,0.44,18:43:07
video (2160p).mp4,car,0.46,18:43:07
video (2160p).mp4,pedestrian,0.52,18:43:07
video (2160p).mp4,car,0.52,18:43:07
video (2160p).mp4,car,0.57,18:43:07
video (2160p).mp4,car,0.63,18:43:07
video (2160p).mp4,pedestrian,0.64,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,car,0.69,18:43:07
video (2160p).mp4,car,0.72,18:43:07
video (2160p).mp4,pedestrian,0.73,18:43:07
video (2160p).mp4,car,0.25,18:43:07
video (2160p).mp4,car,0.25,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,car,0.26,18:43:07
video (2160p).mp4,car,0.27,18:43:07
video (2160p).mp4,car,0.33,18:43:07
video (2160p).mp4,car,0.34,18:43:07
video (2160p).mp4,traffic light,0.37,18:43:07
video (2160p).mp4,car,0.41,18:43:07
video (2160p).mp4,car,0.42,18:43:07
video (2160p).mp4,pedestrian,0.44,18:43:07
video (2160p).mp4,pedestrian,0.45,18:43:07
video (2160p).mp4,car,0.46,18:43:07
video (2160p).mp4,car,0.51,18:43:07
video (2160p).mp4,car,0.55,18:43:07
video (2160p).mp4,car,0.57,18:43:07
video (2160p).mp4,pedestrian,0.61,18:43:07
video (2160p).mp4,car,0.63,18:43:07
video (2160p).mp4,car,0.65,18:43:07
video (2160p).mp4,pedestrian,0.71,18:43:07
video (2160p).mp4,car,0.72,18:43:07
video (2160p).mp4,car,0.72,18:43:07
video (2160p).mp4,car,0.27,18:43:08
video (2160p).mp4,car,0.27,18:43:08
video (2160p).mp4,car,0.28,18:43:08
video (2160p).mp4,traffic light,0.31,18:43:08
video (2160p).mp4,car,0.35,18:43:08
video (2160p).mp4,car,0.39,18:43:08
video (2160p).mp4,pedestrian,0.41,18:43:08
video (2160p).mp4,pedestrian,0.43,18:43:08
video (2160p).mp4,car,0.48,18:43:08
video (2160p).mp4,car,0.49,18:43:08
video (2160p).mp4,car,0.5,18:43:08
video (2160p).mp4,pedestrian,0.52,18:43:08
video (2160p).mp4,car,0.59,18:43:08
video (2160p).mp4,car,0.63,18:43:08
video (2160p).mp4,car,0.65,18:43:08
video (2160p).mp4,pedestrian,0.66,18:43:08
video (2160p).mp4,car,0.69,18:43:08
video (2160p).mp4,car,0.73,18:43:08
video (2160p).mp4,car,0.28,18:43:08
video (2160p).mp4,car,0.28,18:43:08
video (2160p).mp4,pedestrian,0.28,18:43:08
video (2160p).mp4,traffic light,0.3,18:43:08
video (2160p).mp4,car,0.37,18:43:08
video (2160p).mp4,car,0.38,18:43:08
video (2160p).mp4,car,0.38,18:43:08
video (2160p).mp4,pedestrian,0.46,18:43:08
video (2160p).mp4,car,0.48,18:43:08
video (2160p).mp4,pedestrian,0.53,18:43:08
video (2160p).mp4,car,0.53,18:43:08
video (2160p).mp4,car,0.54,18:43:08
video (2160p).mp4,car,0.61,18:43:08
video (2160p).mp4,car,0.63,18:43:08
video (2160p).mp4,car,0.65,18:43:08
video (2160p).mp4,pedestrian,0.66,18:43:08
video (2160p).mp4,car,0.69,18:43:08
video (2160p).mp4,car,0.73,18:43:08
video (2160p).mp4,car,0.26,18:43:08
video (2160p).mp4,car,0.26,18:43:08
video (2160p).mp4,car,0.28,18:43:08
video (2160p).mp4,traffic light,0.3,18:43:08
video (2160p).mp4,car,0.37,18:43:08
video (2160p).mp4,car,0.37,18:43:08
video (2160p).mp4,car,0.4,18:43:08
video (2160p).mp4,car,0.42,18:43:08
video (2160p).mp4,car,0.46,18:43:08
video (2160p).mp4,car,0.49,18:43:08
video (2160p).mp4,pedestrian,0.5,18:43:08
video (2160p).mp4,car,0.52,18:43:08
video (2160p).mp4,pedestrian,0.58,18:43:08
video (2160p).mp4,car,0.62,18:43:08
video (2160p).mp4,car,0.67,18:43:08
video (2160p).mp4,pedestrian,0.67,18:43:08
video (2160p).mp4,car,0.68,18:43:08
video (2160p).mp4,car,0.73,18:43:08
video (2160p).mp4,traffic sign,0.25,18:43:08
video (2160p).mp4,car,0.26,18:43:08
video (2160p).mp4,traffic light,0.29,18:43:08
video (2160p).mp4,car,0.31,18:43:08
video (2160p).mp4,traffic light,0.33,18:43:08
video (2160p).mp4,car,0.38,18:43:08
video (2160p).mp4,pedestrian,0.4,18:43:08
video (2160p).mp4,car,0.44,18:43:08
video (2160p).mp4,car,0.45,18:43:08
video (2160p).mp4,car,0.5,18:43:08
video (2160p).mp4,car,0.5,18:43:08
video (2160p).mp4,car,0.52,18:43:08
video (2160p).mp4,car,0.59,18:43:08
video (2160p).mp4,car,0.61,18:43:08
video (2160p).mp4,pedestrian,0.64,18:43:08
video (2160p).mp4,car,0.65,18:43:08
video (2160p).mp4,pedestrian,0.69,18:43:08
video (2160p).mp4,car,0.72,18:43:08
video (2160p).mp4,car,0.72,18:43:08
video (2160p).mp4,traffic light,0.26,18:43:08
video (2160p).mp4,car,0.28,18:43:08
video (2160p).mp4,car,0.29,18:43:08
video (2160p).mp4,pedestrian,0.3,18:43:08
video (2160p).mp4,car,0.31,18:43:08
video (2160p).mp4,traffic light,0.33,18:43:08
video (2160p).mp4,car,0.38,18:43:08
video (2160p).mp4,car,0.41,18:43:08
video (2160p).mp4,car,0.42,18:43:08
video (2160p).mp4,car,0.43,18:43:08
video (2160p).mp4,car,0.43,18:43:08
video (2160p).mp4,car,0.45,18:43:08
video (2160p).mp4,car,0.49,18:43:08
video (2160p).mp4,car,0.5,18:43:08
video (2160p).mp4,car,0.54,18:43:08
video (2160p).mp4,car,0.61,18:43:08
video (2160p).mp4,car,0.65,18:43:08
video (2160p).mp4,pedestrian,0.67,18:43:08
video (2160p).mp4,pedestrian,0.67,18:43:08
video (2160p).mp4,car,0.71,18:43:08
video (2160p).mp4,car,0.73,18:43:08
video (2160p).mp4,car,0.25,18:43:08
video (2160p).mp4,car,0.29,18:43:08
video (2160p).mp4,car,0.29,18:43:08
video (2160p).mp4,car,0.31,18:43:08
video (2160p).mp4,traffic light,0.35,18:43:08
video (2160p).mp4,traffic light,0.36,18:43:08
video (2160p).mp4,car,0.39,18:43:08
video (2160p).mp4,car,0.41,18:43:08
video (2160p).mp4,car,0.45,18:43:08
video (2160p).mp4,car,0.47,18:43:08
video (2160p).mp4,car,0.47,18:43:08
video (2160p).mp4,car,0.53,18:43:08
video (2160p).mp4,car,0.56,18:43:08
video (2160p).mp4,car,0.58,18:43:08
video (2160p).mp4,car,0.61,18:43:08
video (2160p).mp4,pedestrian,0.64,18:43:08
video (2160p).mp4,car,0.68,18:43:08
video (2160p).mp4,pedestrian,0.7,18:43:08
video (2160p).mp4,car,0.71,18:43:08
video (2160p).mp4,car,0.74,18:43:08
video (2160p).mp4,pedestrian,0.26,18:43:08
video (2160p).mp4,car,0.26,18:43:08
video (2160p).mp4,pedestrian,0.27,18:43:08
video (2160p).mp4,car,0.29,18:43:08
video (2160p).mp4,traffic light,0.31,18:43:08
video (2160p).mp4,car,0.35,18:43:08
video (2160p).mp4,car,0.35,18:43:08
video (2160p).mp4,car,0.37,18:43:08
video (2160p).mp4,traffic light,0.39,18:43:08
video (2160p).mp4,car,0.46,18:43:08
video (2160p).mp4,car,0.47,18:43:08
video (2160p).mp4,car,0.5,18:43:08
video (2160p).mp4,car,0.53,18:43:08
video (2160p).mp4,car,0.53,18:43:08
video (2160p).mp4,car,0.61,18:43:08
video (2160p).mp4,pedestrian,0.64,18:43:08
video (2160p).mp4,pedestrian,0.69,18:43:08
video (2160p).mp4,car,0.7,18:43:08
video (2160p).mp4,car,0.71,18:43:08
video (2160p).mp4,car,0.75,18:43:08
video (2160p).mp4,car,0.27,18:43:08
video (2160p).mp4,car,0.27,18:43:08
video (2160p).mp4,traffic light,0.28,18:43:08
video (2160p).mp4,traffic light,0.3,18:43:08
video (2160p).mp4,car,0.31,18:43:08
video (2160p).mp4,car,0.33,18:43:08
video (2160p).mp4,car,0.35,18:43:08
video (2160p).mp4,car,0.41,18:43:08
video (2160p).mp4,car,0.41,18:43:08
video (2160p).mp4,car,0.42,18:43:08
video (2160p).mp4,car,0.47,18:43:08
video (2160p).mp4,car,0.5,18:43:08
video (2160p).mp4,car,0.57,18:43:08
video (2160p).mp4,car,0.62,18:43:08
video (2160p).mp4,pedestrian,0.67,18:43:08
video (2160p).mp4,pedestrian,0.68,18:43:08
video (2160p).mp4,car,0.69,18:43:08
video (2160p).mp4,car,0.72,18:43:08
video (2160p).mp4,car,0.74,18:43:08
video (2160p).mp4,traffic light,0.28,18:43:08
video (2160p).mp4,car,0.29,18:43:08
video (2160p).mp4,car,0.31,18:43:08
video (2160p).mp4,car,0.31,18:43:08
video (2160p).mp4,car,0.34,18:43:08
video (2160p).mp4,traffic light,0.36,18:43:08
video (2160p).mp4,car,0.39,18:43:08
video (2160p).mp4,car,0.4,18:43:08
video (2160p).mp4,car,0.45,18:43:08
video (2160p).mp4,car,0.48,18:43:08
video (2160p).mp4,car,0.52,18:43:08
video (2160p).mp4,car,0.61,18:43:08
video (2160p).mp4,pedestrian,0.67,18:43:08
video (2160p).mp4,pedestrian,0.68,18:43:08
video (2160p).mp4,car,0.69,18:43:08
video (2160p).mp4,car,0.71,18:43:08
video (2160p).mp4,car,0.72,18:43:08
video (2160p).mp4,car,0.26,18:43:09
video (2160p).mp4,car,0.26,18:43:09
video (2160p).mp4,car,0.27,18:43:09
video (2160p).mp4,traffic light,0.28,18:43:09
video (2160p).mp4,car,0.32,18:43:09
video (2160p).mp4,traffic light,0.34,18:43:09
video (2160p).mp4,car,0.36,18:43:09
video (2160p).mp4,car,0.38,18:43:09
video (2160p).mp4,car,0.43,18:43:09
video (2160p).mp4,car,0.43,18:43:09
video (2160p).mp4,car,0.45,18:43:09
video (2160p).mp4,car,0.46,18:43:09
video (2160p).mp4,car,0.48,18:43:09
video (2160p).mp4,car,0.49,18:43:09
video (2160p).mp4,car,0.55,18:43:09
video (2160p).mp4,pedestrian,0.66,18:43:09
video (2160p).mp4,car,0.68,18:43:09
video (2160p).mp4,pedestrian,0.68,18:43:09
video (2160p).mp4,car,0.7,18:43:09
video (2160p).mp4,car,0.72,18:43:09
video (2160p).mp4,car,0.26,18:43:09
video (2160p).mp4,car,0.28,18:43:09
video (2160p).mp4,car,0.31,18:43:09
video (2160p).mp4,car,0.31,18:43:09
video (2160p).mp4,car,0.31,18:43:09
video (2160p).mp4,car,0.32,18:43:09
video (2160p).mp4,traffic light,0.37,18:43:09
video (2160p).mp4,car,0.43,18:43:09
video (2160p).mp4,car,0.45,18:43:09
video (2160p).mp4,car,0.47,18:43:09
video (2160p).mp4,car,0.52,18:43:09
video (2160p).mp4,car,0.58,18:43:09
video (2160p).mp4,car,0.63,18:43:09
video (2160p).mp4,pedestrian,0.63,18:43:09
video (2160p).mp4,car,0.69,18:43:09
video (2160p).mp4,car,0.69,18:43:09
video (2160p).mp4,car,0.7,18:43:09
video (2160p).mp4,pedestrian,0.7,18:43:09
video (2160p).mp4,traffic light,0.32,18:43:09
video (2160p).mp4,car,0.33,18:43:09
video (2160p).mp4,car,0.34,18:43:09
video (2160p).mp4,car,0.34,18:43:09
video (2160p).mp4,traffic light,0.35,18:43:09
video (2160p).mp4,car,0.35,18:43:09
video (2160p).mp4,car,0.36,18:43:09
video (2160p).mp4,car,0.36,18:43:09
video (2160p).mp4,car,0.37,18:43:09
video (2160p).mp4,car,0.4,18:43:09
video (2160p).mp4,car,0.45,18:43:09
video (2160p).mp4,car,0.46,18:43:09
video (2160p).mp4,car,0.51,18:43:09
video (2160p).mp4,car,0.55,18:43:09
video (2160p).mp4,car,0.56,18:43:09
video (2160p).mp4,pedestrian,0.63,18:43:09
video (2160p).mp4,car,0.66,18:43:09
video (2160p).mp4,pedestrian,0.66,18:43:09
video (2160p).mp4,car,0.7,18:43:09
video (2160p).mp4,car,0.76,18:43:09
video (2160p).mp4,traffic light,0.27,18:43:09
video (2160p).mp4,traffic light,0.3,18:43:09
video (2160p).mp4,car,0.3,18:43:09
video (2160p).mp4,car,0.35,18:43:09
video (2160p).mp4,car,0.37,18:43:09
video (2160p).mp4,car,0.38,18:43:09
video (2160p).mp4,car,0.38,18:43:09
video (2160p).mp4,car,0.39,18:43:09
video (2160p).mp4,car,0.4,18:43:09
video (2160p).mp4,car,0.41,18:43:09
video (2160p).mp4,car,0.41,18:43:09
video (2160p).mp4,car,0.47,18:43:09
video (2160p).mp4,car,0.5,18:43:09
video (2160p).mp4,car,0.55,18:43:09
video (2160p).mp4,car,0.57,18:43:09
video (2160p).mp4,pedestrian,0.59,18:43:09
video (2160p).mp4,pedestrian,0.6,18:43:09
video (2160p).mp4,car,0.67,18:43:09
video (2160p).mp4,car,0.69,18:43:09
video (2160p).mp4,car,0.77,18:43:09
video (2160p).mp4,car,0.29,18:43:09
video (2160p).mp4,car,0.32,18:43:09
video (2160p).mp4,car,0.36,18:43:09
video (2160p).mp4,car,0.37,18:43:09
video (2160p).mp4,car,0.39,18:43:09
video (2160p).mp4,car,0.4,18:43:09
video (2160p).mp4,car,0.42,18:43:09
video (2160p).mp4,car,0.43,18:43:09
video (2160p).mp4,car,0.49,18:43:09
video (2160p).mp4,car,0.5,18:43:09
video (2160p).mp4,pedestrian,0.54,18:43:09
video (2160p).mp4,car,0.54,18:43:09
video (2160p).mp4,car,0.55,18:43:09
video (2160p).mp4,car,0.6,18:43:09
video (2160p).mp4,pedestrian,0.61,18:43:09
video (2160p).mp4,car,0.67,18:43:09
video (2160p).mp4,car,0.69,18:43:09
video (2160p).mp4,car,0.74,18:43:09
video (2160p).mp4,car,0.29,18:43:09
video (2160p).mp4,car,0.34,18:43:09
video (2160p).mp4,car,0.35,18:43:09
video (2160p).mp4,car,0.39,18:43:09
video (2160p).mp4,car,0.43,18:43:09
video (2160p).mp4,car,0.44,18:43:09
video (2160p).mp4,car,0.45,18:43:09
video (2160p).mp4,car,0.48,18:43:09
video (2160p).mp4,car,0.5,18:43:09
video (2160p).mp4,car,0.5,18:43:09
video (2160p).mp4,pedestrian,0.55,18:43:09
video (2160p).mp4,pedestrian,0.57,18:43:09
video (2160p).mp4,car,0.57,18:43:09
video (2160p).mp4,car,0.6,18:43:09
video (2160p).mp4,car,0.67,18:43:09
video (2160p).mp4,car,0.68,18:43:09
video (2160p).mp4,car,0.74,18:43:09
video (2160p).mp4,car,0.25,18:43:09
video (2160p).mp4,car,0.29,18:43:09
video (2160p).mp4,car,0.31,18:43:09
video (2160p).mp4,car,0.37,18:43:09
video (2160p).mp4,car,0.39,18:43:09
video (2160p).mp4,car,0.41,18:43:09
video (2160p).mp4,car,0.42,18:43:09
video (2160p).mp4,car,0.42,18:43:09
video (2160p).mp4,car,0.46,18:43:09
video (2160p).mp4,car,0.49,18:43:09
video (2160p).mp4,car,0.52,18:43:09
video (2160p).mp4,car,0.57,18:43:09
video (2160p).mp4,pedestrian,0.58,18:43:09
video (2160p).mp4,pedestrian,0.6,18:43:09
video (2160p).mp4,car,0.67,18:43:09
video (2160p).mp4,car,0.7,18:43:09
video (2160p).mp4,car,0.75,18:43:09
video (2160p).mp4,car,0.25,18:43:09
video (2160p).mp4,car,0.26,18:43:09
video (2160p).mp4,traffic light,0.3,18:43:09
video (2160p).mp4,car,0.32,18:43:09
video (2160p).mp4,car,0.32,18:43:09
video (2160p).mp4,car,0.36,18:43:09
video (2160p).mp4,car,0.37,18:43:09
video (2160p).mp4,car,0.37,18:43:09
video (2160p).mp4,car,0.43,18:43:09
video (2160p).mp4,car,0.46,18:43:09
video (2160p).mp4,car,0.52,18:43:09
video (2160p).mp4,car,0.52,18:43:09
video (2160p).mp4,car,0.55,18:43:09
video (2160p).mp4,car,0.61,18:43:09
video (2160p).mp4,car,0.62,18:43:09
video (2160p).mp4,pedestrian,0.64,18:43:09
video (2160p).mp4,pedestrian,0.66,18:43:09
video (2160p).mp4,car,0.68,18:43:09
video (2160p).mp4,car,0.72,18:43:09
video (2160p).mp4,car,0.74,18:43:09
video (2160p).mp4,pedestrian,0.25,18:43:09
video (2160p).mp4,pedestrian,0.28,18:43:09
video (2160p).mp4,car,0.28,18:43:09
video (2160p).mp4,traffic light,0.28,18:43:09
video (2160p).mp4,car,0.33,18:43:09
video (2160p).mp4,car,0.4,18:43:09
video (2160p).mp4,car,0.41,18:43:09
video (2160p).mp4,car,0.45,18:43:09
video (2160p).mp4,car,0.46,18:43:09
video (2160p).mp4,car,0.46,18:43:09
video (2160p).mp4,car,0.48,18:43:09
video (2160p).mp4,car,0.54,18:43:09
video (2160p).mp4,car,0.55,18:43:09
video (2160p).mp4,car,0.58,18:43:09
video (2160p).mp4,pedestrian,0.58,18:43:09
video (2160p).mp4,car,0.61,18:43:09
video (2160p).mp4,pedestrian,0.65,18:43:09
video (2160p).mp4,car,0.68,18:43:09
video (2160p).mp4,car,0.71,18:43:09
video (2160p).mp4,car,0.77,18:43:09
video (2160p).mp4,car,0.28,18:43:10
video (2160p).mp4,car,0.28,18:43:10
video (2160p).mp4,pedestrian,0.29,18:43:10
video (2160p).mp4,pedestrian,0.32,18:43:10
video (2160p).mp4,car,0.33,18:43:10
video (2160p).mp4,car,0.4,18:43:10
video (2160p).mp4,car,0.45,18:43:10
video (2160p).mp4,car,0.46,18:43:10
video (2160p).mp4,car,0.47,18:43:10
video (2160p).mp4,car,0.49,18:43:10
video (2160p).mp4,car,0.5,18:43:10
video (2160p).mp4,car,0.51,18:43:10
